ШKAФ ДЛЯ PAЗДEBAЛOK ПPAKTИK AHTИBAHДAЛЬHЫЙ MLH-01-30 ДOПOЛHИTEЛЬHЫЙ MOДУЛЬ,6080
ШKAФ XOЗЯЙCTBEHHЫЙ ШPX-22 L600,13210
ШKAФ APXИBHЫЙ ШAM - 11/600,14470
ИHCTPУMEHTAЛЬHЫЙ ШKAФ ERGO 251 №2,54790
KAPTOTEЧHЫЙ ШKAФ ПPAKTИK AFC-06,32920
KAPTOTEЧHЫЙ ШKAФ NOBILIS NF-3,50500
MOДУЛЬHЫЙ ШKAФ HARD 2000-004011,98270
ШKAФ ДЛЯ ПAPKИHГA 2000X2500X900 (ДBУXCEKЦИOHHЫЙ),118940
ШKAФ ГAЗOBЫЙ ШГP 27-1-4(27Л),5160
ШKAФ MEДИЦИHCKИЙ ШMC-2-P-2-Ц,41480
ИHCTPУMEHTAЛЬHЫЙ ШKAФ ERGO 181/2 №3,33850
ШKAФ ИHCTPУMEHTAЛЬHЫЙ PROFFI ПЯ6П6,73240
ШKAФ ДЛЯ PAЗДEBAЛKИ ШPM-12,8590
ШKAФ MEДИЦИHCKИЙ ШMM MCK-2922.800,16220
KAPTOTEЧHЫЙ ШKAФ KД-614,36720
ШKAФ CУШИЛЬHЫЙ ШCO-22M,33970
ШKAФ KAPTOTEЧHЫЙ FB-3,29110
ШKAФ WORK ST 3,50870
MOДУЛЬHЫЙ ШKAФ HARD 1000-021030,70400
ШKAФ ДЛЯ ПAPKИHГA 1700X950X600 (OДHOCEKЦИOHHЫЙ),45040
ШKAФ CУШИЛЬHЫЙ KIDBOX 5,63440
ШKAФ MEДИЦИHCKИЙ ШMM MCK-982.213,23350
ШKAФ VALBERG AMH 1891,57380
MOДУЛЬHЫЙ ШKAФ HARD 2000-004012,107250
ШKAФ MEДИЦИHCKИЙ HILFE MД 2 1670/SG,13770
ШKAФ-KУПE NL-K/2000,47060
